,gloss,spoken,combined
936,시청 내리다 ?,시청에서 내려드릴까요?,시청 내리다 ?시청에서 내려드릴까요?
937,시청 내리다 ?,시청에서 내려드릴까요?,시청 내리다 ?시청에서 내려드릴까요?
938,시청 차내리다 ?,시청에서 내려드릴까요?,시청 차내리다 ?시청에서 내려드릴까요?
939,시청 차내리다 ?,시청에서 내려드릴까요?,시청 차내리다 ?시청에서 내려드릴까요?
940,시청 오케이 ?,시청에서 내려드릴까요?,시청 오케이 ?시청에서 내려드릴까요?
941,시청 차두다 ?,시청에서 내려드릴까요?,시청 차두다 ?시청에서 내려드릴까요?
942,시청 내리다 오케이 ?,시청에서 내려드릴까요?,시청 내리다 오케이 ?시청에서 내려드릴까요?
943,시청 내리다 오케이 ?,시청에서 내려드릴까요?,시청 내리다 오케이 ?시청에서 내려드릴까요?
944,시청 차내리다 오케이 ?,시청에서 내려드릴까요?,시청 차내리다 오케이 ?시청에서 내려드릴까요?
945,시청 차내리다 오케이 ?,시청에서 내려드릴까요?,시청 차내리다 오케이 ?시청에서 내려드릴까요?
946,나사렛 ?,나사렛대학교에서 내려드릴까요?,나사렛 ?나사렛대학교에서 내려드릴까요?
947,나사렛 내리다 ?,나사렛대학교에서 내려드릴까요?,나사렛 내리다 ?나사렛대학교에서 내려드릴까요?
948,나사렛 내리다 ?,나사렛대학교에서 내려드릴까요?,나사렛 내리다 ?나사렛대학교에서 내려드릴까요?
949,나사렛 차내리다 ?,나사렛대학교에서 내려드릴까요?,나사렛 차내리다 ?나사렛대학교에서 내려드릴까요?
950,나사렛 차내리다 ?,나사렛대학교에서 내려드릴까요?,나사렛 차내리다 ?나사렛대학교에서 내려드릴까요?
951,나사렛 오케이 ?,나사렛대학교에서 내려드릴까요?,나사렛 오케이 ?나사렛대학교에서 내려드릴까요?
952,나사렛 가다 ?,나사렛대학교에서 내려드릴까요?,나사렛 가다 ?나사렛대학교에서 내려드릴까요?
953,나사렛 내리다 오케이 ?,나사렛대학교에서 내려드릴까요?,나사렛 내리다 오케이 ?나사렛대학교에서 내려드릴까요?
954,나사렛 내리다 오케이 ?,나사렛대학교에서 내려드릴까요?,나사렛 내리다 오케이 ?나사렛대학교에서 내려드릴까요?
955,나사렛 차내리다 오케이 ?,나사렛대학교에서 내려드릴까요?,나사렛 차내리다 오케이 ?나사렛대학교에서 내려드릴까요?
956,나사렛 차내리다 오케이 ?,나사렛대학교에서 내려드릴까요?,나사렛 차내리다 오케이 ?나사렛대학교에서 내려드릴까요?
957,차 뒤 트렁크열다,트렁크 좀 열어주세요.,차 뒤 트렁크열다트렁크 좀 열어주세요.
958,차 엉덩이 트렁크열다,트렁크 좀 열어주세요.,차 엉덩이 트렁크열다트렁크 좀 열어주세요.
959,차 뒤 들어올리다,트렁크 좀 열어주세요.,차 뒤 들어올리다트렁크 좀 열어주세요.
960,차 뒤 엉덩이 들어올리다,트렁크 좀 열어주세요.,차 뒤 엉덩이 들어올리다트렁크 좀 열어주세요.
961,차 트렁크열다 ?,트렁크 좀 열어드릴까요?,차 트렁크열다 ?트렁크 좀 열어드릴까요?
962,차 뒤 트렁크열다 ?,트렁크 좀 열어드릴까요?,차 뒤 트렁크열다 ?트렁크 좀 열어드릴까요?
963,차 엉덩이 트렁크열다 ?,트렁크 좀 열어드릴까요?,차 엉덩이 트렁크열다 ?트렁크 좀 열어드릴까요?
964,차 뒤 들어올리다 ?,트렁크 좀 열어드릴까요?,차 뒤 들어올리다 ?트렁크 좀 열어드릴까요?
965,차 뒤 엉덩이 들어올리다 ?,트렁크 좀 열어드릴까요?,차 뒤 엉덩이 들어올리다 ?트렁크 좀 열어드릴까요?
966,한국농아인협회 ?,한국농아인협회에서 내려드릴까요?,한국농아인협회 ?한국농아인협회에서 내려드릴까요?
967,한국농아인협회 내리다 ?,한국농아인협회에서 내려드릴까요?,한국농아인협회 내리다 ?한국농아인협회에서 내려드릴까요?
968,한국농아인협회 내리다 ?,한국농아인협회에서 내려드릴까요?,한국농아인협회 내리다 ?한국농아인협회에서 내려드릴까요?
969,한국농아인협회 차내리다 ?,한국농아인협회에서 내려드릴까요?,한국농아인협회 차내리다 ?한국농아인협회에서 내려드릴까요?
970,한국농아인협회 차내리다 ?,한국농아인협회에서 내려드릴까요?,한국농아인협회 차내리다 ?한국농아인협회에서 내려드릴까요?
971,한국농아인협회 오케이 ?,한국농아인협회에서 내려드릴까요?,한국농아인협회 오케이 ?한국농아인협회에서 내려드릴까요?
972,한국농아인협회 가다 ?,한국농아인협회에서 내려드릴까요?,한국농아인협회 가다 ?한국농아인협회에서 내려드릴까요?
976,서울농아인협회 ?,서울농아인협회에서 내려드릴까요?,서울농아인협회 ?서울농아인협회에서 내려드릴까요?
977,서울농아인협회 내리다 ?,서울농아인협회에서 내려드릴까요?,서울농아인협회 내리다 ?서울농아인협회에서 내려드릴까요?
978,서울농아인협회 내리다 ?,서울농아인협회에서 내려드릴까요?,서울농아인협회 내리다 ?서울농아인협회에서 내려드릴까요?
979,서울농아인협회 차내리다 ?,서울농아인협회에서 내려드릴까요?,서울농아인협회 차내리다 ?서울농아인협회에서 내려드릴까요?
980,서울농아인협회 차내리다 ?,서울농아인협회에서 내려드릴까요?,서울농아인협회 차내리다 ?서울농아인협회에서 내려드릴까요?
981,서울농아인협회 오케이 ?,서울농아인협회에서 내려드릴까요?,서울농아인협회 오케이 ?서울농아인협회에서 내려드릴까요?
982,서울농아인협회 가다 ?,서울농아인협회에서 내려드릴까요?,서울농아인협회 가다 ?서울농아인협회에서 내려드릴까요?
986,서대문농아인복지관 ?,서대문농아인복지관에서 내려드릴까요?,서대문농아인복지관 ?서대문농아인복지관에서 내려드릴까요?
996,에어컨 켜다,에어컨 좀 켜주세요.,에어컨 켜다에어컨 좀 켜주세요.
997,에어컨 켜다,에어컨 좀 켜주세요.,에어컨 켜다에어컨 좀 켜주세요.
998,에어컨,에어컨 좀 켜주세요.,에어컨에어컨 좀 켜주세요.
999,에어컨 켜다,에어컨 좀 켜주세요.,에어컨 켜다에어컨 좀 켜주세요.
1000,에어컨,에어컨 좀 켜주세요.,에어컨에어컨 좀 켜주세요.
1001,에어컨 켜다,에어컨 좀 켜주세요.,에어컨 켜다에어컨 좀 켜주세요.
1002,에어컨 켜다,에어컨 좀 켜주세요.,에어컨 켜다에어컨 좀 켜주세요.
1003,에어컨 켜다,에어컨 좀 켜주세요.,에어컨 켜다에어컨 좀 켜주세요.
1004,에어컨,에어컨 좀 켜주세요.,에어컨에어컨 좀 켜주세요.
1005,춥다 켜다,에어컨 좀 켜주세요.,춥다 켜다에어컨 좀 켜주세요.
1006,에어컨 켜다 ?,에어컨 좀 켜드릴까요?,에어컨 켜다 ?에어컨 좀 켜드릴까요?
1007,에어컨 켜다 ?,에어컨 좀 켜드릴까요?,에어컨 켜다 ?에어컨 좀 켜드릴까요?
1008,에어컨 ?,에어컨 좀 켜드릴까요?,에어컨 ?에어컨 좀 켜드릴까요?
1009,에어컨 켜다 ?,에어컨 좀 켜드릴까요?,에어컨 켜다 ?에어컨 좀 켜드릴까요?
1010,에어컨 ?,에어컨 좀 켜드릴까요?,에어컨 ?에어컨 좀 켜드릴까요?
1011,에어컨 켜다 ?,에어컨 좀 켜드릴까요?,에어컨 켜다 ?에어컨 좀 켜드릴까요?
1012,에어컨 켜다 ?,에어컨 좀 켜드릴까요?,에어컨 켜다 ?에어컨 좀 켜드릴까요?
1013,에어컨 켜다 ?,에어컨 좀 켜드릴까요?,에어컨 켜다 ?에어컨 좀 켜드릴까요?
1014,에어컨 ?,에어컨 좀 켜드릴까요?,에어컨 ?에어컨 좀 켜드릴까요?
1015,춥다 켜다 ?,에어컨 좀 켜드릴까요?,춥다 켜다 ?에어컨 좀 켜드릴까요?
1016,난방 켜다,히터 좀 켜주세요.,난방 켜다히터 좀 켜주세요.
1017,난방 켜다,히터 좀 켜주세요.,난방 켜다히터 좀 켜주세요.
1018,난방 켜다,히터 좀 켜주세요.,난방 켜다히터 좀 켜주세요.
1019,난방,히터 좀 켜주세요.,난방히터 좀 켜주세요.
1020,따뜻하다 켜다,히터 좀 켜주세요.,따뜻하다 켜다히터 좀 켜주세요.
1021,난방 켜다 ?,히터 좀 켜드릴까요?,난방 켜다 ?히터 좀 켜드릴까요?
1022,난방 켜다 ?,히터 좀 켜드릴까요?,난방 켜다 ?히터 좀 켜드릴까요?
1023,난방 켜다 ?,히터 좀 켜드릴까요?,난방 켜다 ?히터 좀 켜드릴까요?
1024,난방 ?,히터 좀 켜드릴까요?,난방 ?히터 좀 켜드릴까요?
1025,따뜻하다 켜다 ?,히터 좀 켜드릴까요?,따뜻하다 켜다 ?히터 좀 켜드릴까요?
1026,한국농아인협회 가다,한국농아인협회로 가주세요.,한국농아인협회 가다한국농아인협회로 가주세요.
1027,한국농아인협회 가다,한국농아인협회로 가주세요.,한국농아인협회 가다한국농아인협회로 가주세요.
1028,한국농아인협회 내리다,한국농아인협회로 가주세요.,한국농아인협회 내리다한국농아인협회로 가주세요.
1029,한국농아인협회 내리다,한국농아인협회로 가주세요.,한국농아인협회 내리다한국농아인협회로 가주세요.
1030,한국농아인협회 차내리다,한국농아인협회로 가주세요.,한국농아인협회 차내리다한국농아인협회로 가주세요.
1031,한국농아인협회 차내리다,한국농아인협회로 가주세요.,한국농아인협회 차내리다한국농아인협회로 가주세요.
1032,한국농아인협회 도착,한국농아인협회로 가주세요.,한국농아인협회 도착한국농아인협회로 가주세요.
1033,한국농아인협회 목적,한국농아인협회로 가주세요.,한국농아인협회 목적한국농아인협회로 가주세요.
1034,한국농아인협회 곳,한국농아인협회로 가주세요.,한국농아인협회 곳한국농아인협회로 가주세요.
1035,한국농아인협회 가다,한국농아인협회로 가주세요.,한국농아인협회 가다한국농아인협회로 가주세요.
1036,서울농아인협회 가다,서울농아인협회로 가주세요.,서울농아인협회 가다서울농아인협회로 가주세요.
1037,서울농아인협회 가다,서울농아인협회로 가주세요.,서울농아인협회 가다서울농아인협회로 가주세요.
1038,서울농아인협회 내리다,서울농아인협회로 가주세요.,서울농아인협회 내리다서울농아인협회로 가주세요.
1039,서울농아인협회 내리다,서울농아인협회로 가주세요.,서울농아인협회 내리다서울농아인협회로 가주세요.
1040,서울농아인협회 차내리다,서울농아인협회로 가주세요.,서울농아인협회 차내리다서울농아인협회로 가주세요.
1041,서울농아인협회 차내리다,서울농아인협회로 가주세요.,서울농아인협회 차내리다서울농아인협회로 가주세요.
1042,서울농아인협회 도착,서울농아인협회로 가주세요.,서울농아인협회 도착서울농아인협회로 가주세요.
1043,서울농아인협회 목적,서울농아인협회로 가주세요.,서울농아인협회 목적서울농아인협회로 가주세요.
1044,서울농아인협회 곳,서울농아인협회로 가주세요.,서울농아인협회 곳서울농아인협회로 가주세요.
1045,서울농아인협회 가다,서울농아인협회로 가주세요.,서울농아인협회 가다서울농아인협회로 가주세요.
1046,서대문농아인복지관 가다,서대문농아인복지관으로 가주세요.,서대문농아인복지관 가다서대문농아인복지관으로 가주세요.
1047,서대문농아인복지관 가다,서대문농아인복지관으로 가주세요.,서대문농아인복지관 가다서대문농아인복지관으로 가주세요.
1048,서대문농아인복지관 내리다,서대문농아인복지관으로 가주세요.,서대문농아인복지관 내리다서대문농아인복지관으로 가주세요.
1049,서대문농아인복지관 내리다,서대문농아인복지관으로 가주세요.,서대문농아인복지관 내리다서대문농아인복지관으로 가주세요.
1050,서대문농아인복지관 차내리다,서대문농아인복지관으로 가주세요.,서대문농아인복지관 차내리다서대문농아인복지관으로 가주세요.
1051,서대문농아인복지관 차내리다,서대문농아인복지관으로 가주세요.,서대문농아인복지관 차내리다서대문농아인복지관으로 가주세요.
1052,서대문농아인복지관 도착,서대문농아인복지관으로 가주세요.,서대문농아인복지관 도착서대문농아인복지관으로 가주세요.
1053,서대문농아인복지관 목적,서대문농아인복지관으로 가주세요.,서대문농아인복지관 목적서대문농아인복지관으로 가주세요.
1054,서대문농아인복지관 곳,서대문농아인복지관으로 가주세요.,서대문농아인복지관 곳서대문농아인복지관으로 가주세요.
1055,서대문농아인복지관 가다,서대문농아인복지관으로 가주세요.,서대문농아인복지관 가다서대문농아인복지관으로 가주세요.
