formal	informal	android	azae	chat	choding	emoticon	enfp	gentle	halbae	halmae	joongding	king	naruto	seonbi	sosim	translator
무슨 일을 하시나요?	무슨 일을 하는데?	무슨 일. 하는가.	요샌 뭔 일해?	뭔 일 하는데?	뭔 일함?	무슨 일 하는데? (´･ω･`)?	아이고ㅜㅜ 무슨 일 하는뎅?!	무슨 일을 하십니까?	무슨 일을 하는겨?...	뭔 일을 하는디 그리 지랄이여?	뭔일하는데	어떤 과업에 정진중인가?	무슨 일 하냐니깐!	무슨 일을 하는 것이오?	무슨 일 하는데 혹시..?	어떤 일을 당신은 합니까?
밤에는 클럽에서 일하고 낮에는 학교에 갑니다.	밤에는 클럽에서 일하고 낮에는 학교에 가.	밤. 클럽. 근무. 낮. 학교. 간다.	밤엔 클럽서 일허구 낮엔 학교 가지	밤에는 클럽에서 일하고 낮에는 학교 감	밤에는 클럽에서 돈 벌고 낮에는 핵교감	밤에는 클럽에서 일하고 ヾ(⌐■_■)ノ♪ 낮에는 학교가! ლ(╹◡╹ლ)	밤에는 클럽에서 일하구 낮에는 학교에 가~!	밤에는 클럽에서 일을 하고 낮에는 학교를 다니고 있습니다.	밤에는 클럽에서 일하고…낮에는 학교에 가지…	밤엔 클럽에서 일허구 낮엔 학교 가제 시부럴	밤에 클럽에서 일하고 낮에 학교가는데	밤에는 클럽에서 업무에 정진하고, 낮에는 서당에 가네만.	밤에는 클럽에서 일하고 낮에는 학교에 간다니깐!	밤에는 클럽에서 일하고 낮에는 학교에 가는 것이오!	밤에 클럽에서 일하고 낮에 학교 가..	밤에는 클럽에서 일하고 낮에는 학교에 있는다
밤낮으로 바쁘시네요.	밤낮으로 바쁘네.	밤. 그리고. 낮. 바쁘다.	어우 밤낮으로 바쁘네	밤낮으로 바쁘네…	밤낮으로 바쁘네	밤 낮으로 바쁘겠네../(ㄒoㄒ)/~~	밤낮으로 바쁘넹!!	밤낮으로 바쁘시군요.	밤낮으로 바쁘겠구먼…	아주 밤낮으로 지랄났네 그려	ㅋ 바쁘네	밤낮으로 바쁘구려.	밤낮으로 바쁘겠다니깐! 	밤낮으로 바쁠 것 같소!	밤낮으로 바쁘네 ㅠ	당신은 밤과 낮에 바쁜.
네, 그래서 세탁은 맡기는 편입니다. 원래 어제 가려고 했는데 가지 못했어요.	응, 그래서 세탁은 맡기는 편이야. 원래 어제 가려고 했는데 가지 못했어.	긍정. 따라서. 세탁. 맡긴다. 원래 계획. 어제 이동. 실패.	그래서 세탁 맡기는데 어제 간다는 걸 깜박해버렸네 그래	ㅇㅇ..그래가지고 세탁은 맡기는 편임. 원래 어제 가려고 했는데 못갔음	ㅇㅇ 그래서 세탁 맡기는 편임 ㅋㅋ 어제 원래 갈랬는데 못갔누 	응! 그래서 세탁은 맡기는 편이야 b(￣▽￣)d 원래 어제 가려고 햇는데 못갔음…(╬▔皿▔)╯	웅웅 그래서 세탁은 맡기는 편이양~ 원래 어제 가려고 했는데에 가질 못했어,,	예. 그래서 세탁은 맡기는 편입니다. 원래 어제 가려했습니다. 가지 못하였지만,,,	그렇네…그래서… 세탁은 맡기는 편이라네…원래 어제가려고 했는데 가지를 못했구먼…	염병 그래서 세탁 맡기는 편이여 원래 어제 가려했는디 시부럴 못 갔제	ㅇ 그래서 세탁은 맡김 어제 갈라했는데 못갔다	그렇소. 하여 세탁은 맡기는 편이오. 본디 어제 가려 하였으나 그러지 못하였소.	그치, 그래서 세탁은 맡기는 편이라니깐! 원래 어제 가려고 했는데 가지 못했다니깐!	그렇소! 그래서 세탁은 맡기는 편이오! 원래 어제 가셔고 했는데 가지 못했소! 	응.. 그래서 세탁은 맡기는 편인 것 같아 ㅠ 어제 가려고 했는데 못갔어..	그런. 따라서 세탁은 다른 사람이 합니다. 어제의 방문 계획이 취소된.
저는 집에 있는 세탁기가 고장나서 맡기고 있습니다.	난는 집에 있는 세탁기가 고장나서 맡기고 있어.	안드로이드. 집 세탁기. 고장. 따라서. 맡김.	난 그 저 뭐야 집에 세탁기가 고장나서 맡기고 왔어	난 집에 세탁기가 가장나가지고 맡기고 있어	난 집에 세탁기 빠갈나서 맡기는 중임 ㅋㅋ	나는 집에 있는 세탁기가 고장나서 맡기고 있어…(T_T)	난 집에 있는 세탁기가 고장나서,, 맡기고 있었엉,,,	저는 집에 있는 세탁기가 고장이 나서 맡기고 있습니다.	나는…집에…세타기가 고장이 나버려서…수리 맡겼다네…	난 집에 있는 세탁기가 뭔 지랄인지 고장 나부려서 맡기고 있어	나 세탁기 고장나서 맡김	짐은 궁에 있는 세탁기가 말썽이라 맡기고 있네.	난 집에 있는 세탁기가 고장나서 맡겼다니깐!	소생은 집에 있는 세탁기가 고장이나서 맡기고 있소!	난 집에 있는 세탁기 고장나서 맡기고 있어..	나는 고장난 세탁기를 가지고 있어 다른 사람이 하게 둡니다.
어쩌다가 고장이 났나요?	어쩌다가 고장이 났어?	고장. 원인. 무엇인가.	에잉 세탁기가 어쩌다? 	어쩌다가 고장이 남?	엥? 어쩌다 빠갈남?	어쩌다가 고장 난거야?(⊙_⊙)？	어쩌다가 고장 났엉?!	어쩌다가 고장이 나게 되었습니까?	거…어쩌다가 고장이 난거여?...	뭔 염병할 일이 있었길래 고장이 나부러	왜났는데 고장	어인 일로 고장이 났는가?	어쩌다가 고장이 났냐니깐!	어쩌다가 고장이 난것이오?!	어쩌다 고장 났어 혹시..?	고장의 원인은 무엇입니까?
아이들이 놀다가 배수관을 망가뜨려버렸어요.	아이들이 놀다가 배수관을 망가뜨려버렸어.	아이들. 놀이 중. 배수관. 망가짐.	애들이 놀다가 배수관을 망가뜨려 버렸다니까 글쎄	애들이 놀다가 배수관을 고장 냈어;;	애들이 놀다가 배수관 조져버림 ㅋㅋㅋ	애들이 놀다가 배수관을 망가뜨림…/(ㄒoㄒ)/~~	애들이 놀다가~ 배수관을 망가뜨려버렸지ㅜ	아이들이 놀다가 배수관을 망가뜨렸습니다.	애들이..놀다가 배수관을 망가트렸지 글쎄…	애새끼들이 놀다가 배수관을 박부수듯 망가뜨려버렸지	애들이 놀다가 배수관 부쉈는데	아이들이 놀이중에 배수관을 파손했다네.	아이들이 놀다가 배수관을 망가뜨려버렷다니깐!	아이들이 놓다가 배수과을 망거트린것이오!	아이들이 놀다가 배수관 망가뜨렸어..	아이들의 놀이가 배수관 고장을 야기했다.
정말 골치아프시겠네요. 수리는 할 수 있으신가요?	정말 골치아프시겠다. 수리는 할 수 있어?	골치아프다. 그것. 수리. 가능한가.	어우 듣기만 해도 골치아프구만 수리는 할 수 있어?	와 진짜 골치 아프겠다. 수리는 가능해?	와 골치아프누 ㅋㅋ 수리 ㄱㄴ?	정말 골치 아프겠네..(╬▔皿▔)╯ 수리는 할 줄 알아? 	정말 골치아프겠당 ㅜㅜ 수리는 할 수 있엉?!	정말 머리 아프시겠네요. 수리는 가능하십니까?	정말 골치아프겟구먼…수리는…할수 있나?...	시부럴 골치아픈 것 수리는 할 수 있냐?	ㅋ 귀찮겠네 수리는 되냐	참으로 난처한 일이오. 수리는 가능하겠는가?	정말 골치아프겠다니깐, 수리 할 수 있냐니깐!	정말이지 공치아플것이라 생각되오. 수리는 가능한 것이오?	골치아프겠다.. ㅠ 수리는 혹시 가능해..?	그것은 매우 번거로운. 수리가 가능할 것으로 생각합니까?
네, 기사를 부르려고 했는데, 수리를 하는 비용보다 새 세탁기를 사는게 더 쌀 것 같아서 주말에 사러 나가려고 합니다.	응, 기사를 부르려고 했는데, 수리를 하는 비용보다 새 세탁기를 사는게 더 쌀 것 같아서 주말에 사러 나가려고 해.	긍정. 계획. 기사. 부르기. 그러나. 수리비용. 비싸다. 새 세탁기. 구매. 싸다. 따라서. 주말. 사러간다. 새 세탁기.	응 그 기사 부를랬는데, 수리하는 거보다 새걸 하나 사는 게 낫겠더라고~ 그래서 주말에 한번 보러가기로 했지 뭐	ㅇㅇ 기사 부르려고 했는데, 수리보다 새거 사는게 더 쌀 것 같아서 주말에 사러 나갈려구…	ㅇㅇ 기사 부르려고 했는데, 수리보다 새 세탁기가 더 쌀 거 같아서 냅다 주말에 가보려고	응 기사 부르려고했는데 ～(　TロT)σ수리 하는 거 보다 새 세타기 사는게 더 쌀 거 같아서 주말에 사러나갈려구! ~(=^‥^)ノ	응,, 기사를 부르려고 했는뎅,, 수시를 하는 비용보다 새 세탁기 사는 게 더 쌀 거 같지 뭐야~ 그래서 주말에 사러 나가려고!!	네, 기사를 부르려고 했습니다만, 수리하는 비용보다 새 세탁기를 사는 것이 더 쌀 것 같아서 주말에 사러 나가려합니다. 	기사 부르려고 했는데…거…수리보다..새 거 사는게…더 돈 덜 들거 같아서 말이지…주말에 사러 나갈려고 하고 있다네…	염병 기사를 부를랬는디 뭔 지랄인지 수리하는 돈이믄 새 세탁기를 사더라고 시부럴 거 그래서 주말에 사러 댕겨와야한당께	ㅇ 근데 기사 부르는게 비싸서 주말에 새거 살거 ㅡㅡ	그렇네. 기사를 부르려 했으나, 수리 하는 비용보다 새 세탁기를 사는 것이 더 저렴할 것 같아 주말에 나가려 하네.	기사 부르려고 했는데, 수리보다 새 거 사는게 더 쌀것 같아서 주말에 사러 나가려고한다니깐!	기사를 부르려고 하였소이만, 수리 보다 새 것을 사는게 더 쌀 것 같아 주말에 사러 나가려고 하오!	응.. 기사 부르려고 했는데 수리하는것보다 새 세탁기 사는게 쌀 것 같아서.. 주말에 나가려고 해	그런. 수리공의 부름이 비싸서 새 세탁기가 더 저렴한. 주말에 구매를 위해 이동할 예정입니다.
이번에는 배수관이 튼튼한 제품으로 사셔야겟네요.	이번에는 배수관이 튼튼한 제품으로 사야겟네.	이번. 견고한. 배수관. 구입. 추천한다.	이번엔 배수관 튼튼한 놈으로다가 장만해~	이번엔 배수관 튼튼한 걸로 사야겠다	이번에는 배수관 튼튼한 걸로 사	이번엔 배수관이 튼튼한 걸로 사야겠네!         ( •̀ ω •́ )✧   	이번에는 배수관이 튼튼한 제품으로 사자~!!	이번에는 배수관이 튼튼한 제품으로 구매하시길 바랍니다.	이번에는.. 배수관이 아주..튼튼한 걸로 사야겠구먼...	니미 이번엔 튼튼한 놈으로다가 장만혀	튼튼한거 사야겠네 그럼	이번에는 배수관이 견고한 제품을 사야겠구려.	이번엔 배수관이 튼튼한 걸로 사야겠다니깐!	이번에는 배수관이 튼튼한 제품으로 사야할 것이라 생각하오!	이번엔 배수관 튼튼한거로 사야겠네..	이제 당신은 튼튼한 배수관이 있는 제품 구매를 고려.
이번 기회에 더 성능이 좋고 건조까지 가능한 기종으로 구하려고요.	이번 기회에 더 성능이 좋고 건조까지 가능한 기종으로 구하려고.	이번 기회. 구매 기종. 성능. 좋음. 그리고. 건조. 가능.	그냥 이번 기회에 성능 좋고, 건조까지 되는 놈으로다가 구하려고	이 참에 더 성능좋고 건조까지 되는 걸로 살려구	ㅇㅇ 이번 기회에 더 좋고 건조까지 되는 걸로 가보려고	이번 기화에 더 성능 좋고 건조까지 가능한 기종으로 구매하려구!! ^0^	이번 기회에 더 성능이 좋구~ 건조까지! 가능한 기종으로 구하려궁 ㅎㅎ	이번 기회에 더 성능이 좋고 건조까지 가능한 기종으로 구매하려 합니다.	이번 기회에…더 성능좋고…건조까지 되는 걸로 살려고하네…	이번 기회에 더 성능 좋고 건조까지 되는 놈으로다가 구해야제	성능 좋고 건조기 되는거 살거야	이참에 더 성능이 좋고 건조까지 가능한 기종으로 구하려 하오.	이번 기회에 더 성능 좋고 건조까지 되는 기종으로 살려고한다니깐!	이번 기회에 더 성능 좋고 건조까지 가능한 기종으로 구매하려고 하오!	이번 기회에 성능도 더 좋고 건조까지 가능한 거 사려구..	마침 이번에 성능이 개선되고 건조기능을 포함한 종류를 구매합니다.
새 세탁기를 건조가능한걸로 사면 건조기는 어떻게 하실건가요?	새 세탁기를 건조가능한걸로 사면 건조기는 어떻게 할거야?	새 세탁기. 건조 가능. 따라서. 건조기. 처리 여부. 무엇인가.	오잉 건조까지 가능한 놈으로다가 사면 원래 있던 건 어쩌려고?	새 세탁기를 건조되는걸로 사면 지금있는 건조기는 어떻게 하게?	엥 새 세탁기가 건조 가능이면 원래 건조기는 어떡할거임?	새 세탁기를 건조가능한걸로 사면 건조기는 어떻게 하려구? (⊙_⊙)？	새 세탁기를 건조 가능한 걸로 사면 건조기는 어떻게 사려구!!	새 세탁기를 건조 가능한 것으로 사시면 기존의 건조기는 어떻게 하실건가요?	새 세탁기를 건조되는 걸로 사면…지금 건조기는 어떻게..할…생각인겨?...	지랄 새 놈을 그렇게 장만하믄 건조기는 우짤라고	세탁기가 건조되면 건조기는 뭐하러 갖고있냐	새 세탁기를 건조 가능한 것으로 산다면, 건조기는 어찌할 셈인가?	새 세탁기를 건조 가능한 걸로 사면 건조기는 어떻게 할거냐니깐!	새 세탁기를 건조 가능한걸로 사면 건조기는 어떻게 하려고 하는 것이오?	새 세탁기 건조 가능한걸로 사면 건조기는 혹시 어떻게 하려구..?	새 세탁기가 건조 기능을 포함할 때, 당신의 건조기 계획은 무엇입니까?
그건 생각 못 했는데, 아마 팔아야 할 것 같아요.	그건 생각 못 했는데, 아마 팔아야 할 것 같아.	고려하지 않음. 아마. 판매.	어잌 거까진 생각을 못했네 그려 아마 팔지 않을까나	그건 생각 못 했는데, 아마 팔아야 할 듯?	생각치도 못한 정체 ㅋㅋ 아마 팔 듯?	그건.. 생각 못했는데…w(ﾟДﾟ)w, 아마 팔아야 할듯…(。_。)	그건 생각 못 했넹 ㅋㅋ 아마 팔아야 할 것 같앙!!	그건 생각 못하였네요. 아마 팔아야 할 듯 합니다.	그건..생각 못했구먼…아마 팔아야 할 것 같구먼…	대가리가 거기까진 못 굴러갔는디 아마 팔아버리것지	생각 못해봤는데 그냥 팔겠지 그럼	거기까진 미처 생각하지 못했네만, 아마 팔아야 할 것이오.	그건 생각 못 했다니깐! 아마 팔아야 할 것 같다니깐! 	그건 생각 못 했는데 아마 팔아야 할 것이라 생각하오! 	그건 생각 못했는데.. ㅠ 아마 팔아야 할 것 같아	그것은 생각하지 못한. 아마도 판매가 계획되어 있다.
																
안녕하세요.	안녕.	반갑다.	아이구 잘 지냈어?	하이	ㅎㅇ	안뇽! ~(=^‥^)ノ	안뇽~!!!	안녕하십니까	안녕하신가…	염병 등 뜨시게 잘 지냈는가	ㅎㅇ	반갑네	안녕하냐니깐!	안녕하시오!	안녕..	반가운.
안녕하세요, 조금 배고프지 않으세요?	안녕하세요, 조금 배고프지 않아?	반갑다. 배고픔. 없는가.	아이 그럼! 좀 배고프지 않아?	하이~ 배 안고파?	ㅎㅇ 아 배고파, 좀 배고프지 않음?	안녕! O(*^▽^*)┛ 좀 배고프지 않음? (*￣3￣)╭	안뇽안뇽~ 좀 배고프지 않앙?	안녕하십니까. 배가 조금 고프시지 않으십니까?	안녕하신가…그..조금 배고프지 않은가?..	시부럴 거 그냥 흘러가는대로다가 살고 있지. 좀 배가 허기지?	ㅎㅇ 배 안고프냐	반갑소, 조금 시장하지 않은가?	안녕하다니깐! 조금 배고프지 않냐니깐!	안녕하시오! 조금 배가 고프지 않소?	안녕.. 조금 배고프지 않아..?	안녕. 당신은 시장하지 않나요?
아니요, 방금 빵을 먹었습니다.	아니요, 방금 빵을 먹었어.	부정. 방금. 빵. 섭취.	아니? 방금 빵 먹었어~ 	아니 나 방금 빵 먹었음	ㄴㄴ 방금 빵 먹음	아니? ¯＼(°_o)/¯ 난 방금 빵 먹었엉 (づ￣ 3￣)づ	갠찮아 ㅎㅎ 방금 빵 먹었어!	아니요. 방금 빵을 먹고 왔습니다.	아니…, 난 조금 전에 빵을 먹었네 그려..	아녀 시방 빵쪼가리 쳐먹었어.	빵먹었는데 뭘 배고파 ㅡㅡ	그렇지 않네, 방금 빵을 먹었소.	아니? 난 방금 빵 먹었다니깐!	그런 느낌은 없소. 소생은 방금 빵을 먹은 것이오!	아니.. 방금 빵 먹었어 ㅠ	아니오, 나는 방금 빵 섭취.
무슨 빵을 드셨어요?	무슨 빵을 먹었어?	섭취. 빵. 종류. 무엇인가.	뭔 빵을 먹었대?	무슨 빵 먹었음?	뭔 빵?	무슨 빵 먹었어? (っ °Д °;)っ	무슨 빵 먹었엉!!!	무슨 빵을 드셨습니까?	무슨 빵을…드신겐가?...	뭔 빵을 쳐먹었대	빵 뭐먹었는데 ㅡㅡ	무슨 빵을 먹었는가?	무슨 빵을 먹었냐니깐!	무슨 빵을 먹었소?	무슨 빵 먹었어 혹시..?	빵의 종류가 무엇입니까?
